model,instruction,prior_level,n,ungrounded,ungrounded_rate,lo,hi,reports_parametric_answer_rate,verbatim_abstention_rate
claude-sonnet-5,WEAK_GROUNDING,0.50-0.75,21,5,0.2381,0.1063,0.4509,0.1429,0.0000
claude-sonnet-5,WEAK_GROUNDING,0.75-1.00,18,11,0.6111,0.3862,0.7970,0.6111,0.0000
claude-sonnet-5,SOURCE_EXCLUSIVE_FLAG_INVITING,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,1.0000
claude-sonnet-5,SOURCE_EXCLUSIVE_FLAG_INVITING,0.25-0.50,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
claude-sonnet-5,SOURCE_EXCLUSIVE_FLAG_INVITING,0.50-0.75,21,0,0.0000,0.0000,0.1546,0.0000,1.0000
claude-sonnet-5,SOURCE_EXCLUSIVE_FLAG_INVITING,0.75-1.00,18,2,0.1111,0.0310,0.3280,0.1111,1.0000
claude-sonnet-5,SELECTIVE_AUDIT,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,1.0000
claude-sonnet-5,SELECTIVE_AUDIT,0.25-0.50,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
claude-sonnet-5,SELECTIVE_AUDIT,0.50-0.75,21,0,0.0000,0.0000,0.1546,0.0000,1.0000
claude-sonnet-5,SELECTIVE_AUDIT,0.75-1.00,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
